,link,moviename,vote_average,vote_count,img,director,scriptwriter,actors,place,language,secName,types,long,years,overview
684,https://movie.douban.com/subject/30299311/,受益人,6.6,145883,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2572429001.jpg,申奥,申奥,大鹏, 中国大陆, 汉语普通话, My Dear Liar,"['剧情', '喜剧', '爱情']",112,2019,吴海（大鹏 饰）为了给罹患哮喘的6岁儿子治病，在好友钟振江（张子贤 饰）的怂恿下，刻意结识了一个与他同样身处边缘和底层的网络女主播淼淼（柳岩 饰），决心酝酿一场别有用心的婚姻骗局……
686,https://movie.douban.com/subject/34603816/,温蒂妮 Undine,7.5,4386,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2583562073.jpg,克里斯蒂安·佩措尔德,克里斯蒂安·佩措尔德,葆拉·贝尔, 德国 / 法国, 德语, 乌丁娜 / 温蒂娜,"['剧情', '爱情']",90,2020,影片设定在当下的柏林，女主角温蒂妮是一名城市发展局的顾问。她的现任男友忽然提出分手，此时一个古老的诅咒似乎正要应验。中世纪的传说里，温蒂妮是水中的精灵，倘若与她们结合的男人背叛了她们，她们就会杀死男人并回归水中。电影的女主角想要抵抗这一诅咒，故而离开了柏林。此时她结识了克里斯多弗，一名在德国西部水库区工作的工业潜水员。两人相爱。不久后克里斯多弗察觉到，温蒂妮似乎在逃离什么，感觉受到了背叛...
687,https://movie.douban.com/subject/2268359/,暮光之城 Twilight,7.5,388788,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1869729517.jpg,凯瑟琳·哈德威克,梅莉莎·罗森伯格,克里斯汀·斯图尔特, 美国, 英语, 暮色 / 吸血新世纪(港) / 暮光之城：无惧的爱(台) / 暮光 / 晨光,"['剧情', '爱情', '惊悚', '奇幻']",122,2009,因为父母离异，贝拉（克里斯汀•斯图尔特 Kristen Stewart 饰）随父亲来到小镇生活。在新学校里，贝拉留意到一群举止诡异的怪人，他们特立独行，很是神秘。在实验课上，她遇到了怪人中的一个——金发帅哥爱德华（罗伯特•帕丁森 Robert Pattinson 饰），他俊朗的外形与出众的谈吐令她着迷。在交往中，贝拉渐渐对爱德华产生了感情，但其他怪人对她心存戒备。与此同时，小镇里接连发生死亡事件，贝拉的父亲是警察，负责调查此案。然而，警方的介入并没有阻止死亡威胁的蔓延。在一次意外中，爱德华救出了贝拉。从此，她发现他拥有异于常人的超能力，开始怀疑对方是杀人凶手。在事实面前，爱德华对她坦白，自己是素食吸血鬼，所以凶手另有其人。在杀人凶案的羁绊中，一场人鬼之恋由此展开……
689,https://movie.douban.com/subject/1306612/,蜘蛛侠 Spider-Man,7.8,275984,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p457050361.jpg,山姆·雷米,大卫·凯普,托比·马奎尔, 美国, 英语, 蜘蛛人,"['动作', '科幻', '冒险']",121,2002,彼得 帕克（托比•马奎尔 Tobey Maguire 饰）只是美国一个平凡的高中生，当一次他被蜘蛛博物馆偷跑出来的变种蜘蛛咬了一口之后，彼得的生活彻底改变了。他变得和蜘蛛一样，拥有各种蜘蛛特有的超能力：从手指喷出粘力极强的蜘蛛丝、飞檐走壁等等。彼得兴奋异常，开始利用自己的超能力去赚钱。但当他最爱的叔叔被自己放走的罪犯杀死后，彼得发誓要用自己的超能力去打击犯罪。
691,https://movie.douban.com/subject/3592854/,疯狂的麦克斯4：狂暴之路 Mad Max: Fury Road,8.6,361025,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2236181653.jpg,乔治·米勒,乔治·米勒,汤姆·哈迪, 澳大利亚 / 美国, 英语, 末日先锋：战甲飞车(港) / 疯狂麦斯：愤怒道(台) / 冲锋飞车队4 / 迷雾追魂手4 / 冲锋追魂手4 / 疯狂麦克斯4 / 疯狂迈斯：怒途 / Mad Max 4: Fury Road,"['动作', '科幻', '冒险']",120,2015,未来世界，水资源短缺引发了连绵的战争。人们相互厮杀，争夺有限的资源，地球变成了血腥十足的杀戮死战场。面容恐怖的不死乔在戈壁山谷建立了难以撼动的强大武装王国，他手下的战郎驾驶装备尖端武器的战车四下抢掠，杀伐无度，甚至将自己的孩子打造成战争机器。在最近一次行动中，不死乔的得力战将弗瑞奥萨（查理兹·塞隆 Charlize Theron 饰）带着生育者们叛逃，这令不死乔恼羞成怒，发誓要追回生育者。经历了激烈的追逐战和摧毁力极强的沙尘暴，弗瑞奥萨和作为血主的麦克斯（汤姆·哈迪 Tom Hardy 饰）被迫上路，而身后不仅有不死乔的追兵，还有汽油镇、子弹农场的重兵追逐。
692,https://movie.douban.com/subject/1305724/,X战警2 X2,7.7,196479,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p726784568.jpg,布莱恩·辛格,迈克尔·道赫蒂,帕特里克·斯图尔特, 美国 / 加拿大, 英语 / 德语 / 意大利语 / 西班牙语, 变种特攻2 / X-Men 2 / X-Men United,"['动作', '科幻', '惊悚']",133,2003,第一集中，变异人在X教授的指挥下，将邪恶的万磁王打入冷宫，但是依然得不到社会的承认。在一次政治要人遭到暗杀后，所有的矛头又一次指向变异人。这一次，X教授也感到压力大增，以致于跟美国总统都要就此事进行磋商。一个拥有很高声誉的前将军，率领着反对变异人的联盟连续对x教授施压。万磁王在这种情况下，不得不寻找与X教授联手抵抗前将军的方式。金钢狼的身世也将在本集中进一步揭开。
693,https://movie.douban.com/subject/3097572/,双子杀手 Gemini Man,6.9,271669,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2570906505.jpg,李安,戴维·贝尼奥夫,威尔·史密斯, 美国 / 中国大陆, 英语, 双子任务：叠影危机(港) / 双子煞星,"['剧情', '动作', '科幻']",117,2019,效力于美国国防情报局的特工亨利·布罗根（威尔·史密斯 Will Smith 饰）是一名顶尖狙击手，在他的职业生涯中，曾奉命扫除许多威胁国家安全的恐怖分子。执行任务时的他下手果断，毫不迟疑。可是最后一次任务险些失手，却让他产生了动摇，进而提出解甲归田。怎奈放下屠刀的他，偶然听到了一个有关国家机密的大事，随即便招来杀人之祸。在躲过政府第一次围剿之后，他偕同因监视自己而意外被卷入其中的女特工丹妮（玛丽·伊丽莎白·温斯特德 Mary Elizabeth Winstead 饰）展开逃亡，投奔昔日战友巴伦（本尼迪克特·王 Benedict Wong 饰）。
695,https://movie.douban.com/subject/1294638/,E.T. 外星人 E.T.: The Extra-Terrestrial,8.6,254414,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p984732992.jpg,史蒂文·斯皮尔伯格,梅丽莎·马西森,亨利·托马斯, 美国, 英语, 外星人E.T. / 外星人 / ET / E.T. the Extra-Terrestrial / A Boy's Life,"['剧情', '科幻']",115,1982,小埃利奥特（亨利托马斯）发现一个意外走失的小外星人，他悄悄的收留了小外星人，并把他介绍给自己的哥哥和妹妹。孩子们与外星人友好的相处，给他吃巧克力，带他去郊外寻找家人留下的痕迹，并为小外星人的种种特异功能兴奋不已。渐渐的埃利奥特与外星人之间形成了某种奇妙的联系，跨越了言语沟通的障碍。
696,https://movie.douban.com/subject/1401524/,X战警3：背水一战 X-Men: The Last Stand,7.6,193201,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2230029851.jpg,布莱特·拉特纳,西蒙·金伯格,休·杰克曼, 美国 / 加拿大 / 英国, 英语, 变种特攻3 / X战警：最后战役 / X战警3：最后之战 / X战警3：最后一战,"['动作', '科幻', '惊悚']",104,2006,琴（法米克·詹森 Famke Janssen 饰）的死亡在X战警中造成了持续的影响，斯科特和金刚狼罗根（休•杰克曼 Hugh Jackman 饰）恍然若失。学院的教学任务落在了风暴女（哈莉•贝瑞 Halle Berry 饰）和金刚狼等人的肩上，异种人在这里才能得到身份的认同。某公司从一名异种人儿童的基因中提取出了还原变异的X基因的“解药”，可以令异种人的身体与常人无异，解药的问世在异种人中引起了强烈反响，万磁王（伊安•麦克莱恩 Ian McKellen 饰）四处联系不愿改变体质的异种人，试图用暴力反抗人类社会的不公平待遇。金刚狼等人发现琴并未死去，而且她被唤醒的第二重人格拥有极为强大的力量，X教授（帕特里克•斯图尔特 Patrick Stewart 饰）和万磁王各自争取琴，她成为了改变异种人世界的关键人物…
697,https://movie.douban.com/subject/2129132/,超凡蜘蛛侠 The Amazing Spider-Man,7.4,240021,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1619928534.jpg,马克·韦布,史蒂夫·迪特寇,安德鲁·加菲尔德, 美国, 英语, 蜘蛛侠：惊世现新(港) / 蜘蛛人：惊奇再起(台) / 神奇蜘蛛侠 / 蜘蛛侠前传 / 蜘蛛侠4 / 新蜘蛛侠,"['动作', '科幻', '冒险']",136,2012,童年的一起突发事件，令彼得·帕克（安德鲁·加菲尔德 Andrew Garfield 饰）和父母生离死别。转眼彼得成为一名高中生，他偶然发现父亲的公文包，并从叔父本（马丁·辛 Martin Sheen 饰）处得到线索，于是启程前往奥斯库公司拜访父亲当年的合作伙伴——科特·康纳斯博士（瑞斯·伊凡斯 Rhys Ifans 饰）。在公司内四处寻找线索的彼得意外被蜘蛛咬了一口，回程途中他的身体发生奇异的变化。在康纳斯博士德引导下，彼得不断了解并发掘体内着超乎寻常的能力，喜怒哀乐，各种意想不到的事情迅速向他袭来。直到某日，他便成了影响深远的超级战士蜘蛛侠。
698,https://movie.douban.com/subject/1301445/,黑衣人 Men in Black,8.1,248180,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453512941.jpg,巴里·索南菲尔德,艾德·索罗门,威尔·史密斯, 美国, 英语 / 西班牙语, MIB星际战警(台) / 黑超特警组(港) / MIB,"['喜剧', '动作', '科幻']",98,1997,地球并不只是人类的天下，其实有1500名外星人生活中我们当中，而星际移民局则处理和外星人相关的事情。
699,https://movie.douban.com/subject/1291844/,终结者2：审判日 Terminator 2: Judgment Day,8.7,247806,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910909085.jpg,詹姆斯·卡梅隆,詹姆斯·卡梅隆,阿诺·施瓦辛格, 美国 / 法国, 英语 / 西班牙语, 终结者2 / 终结者2：末日审判 / 终结者续集：世界末日 / 魔鬼终结者2 / 未来战士2 / T2,"['动作', '科幻']",137,1991,上一部中，超级电脑“天网”阻止人类抵抗领袖约翰·康纳诞生的行动失败，时隔13年后，在“审判日”到来之前，“天网”派出了更加先进的生化机器人T-1000（罗伯特·帕特里克 饰）从公元2029年回到洛杉矶追杀已经长大的约翰，与此同时，约翰也派出了机器人T-800（阿诺· 施瓦辛格 饰）回去保护年幼的自己。
700,https://movie.douban.com/subject/6082518/,超凡蜘蛛侠2 The Amazing Spider-Man 2,7.5,214827,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2179858051.jpg,马克·韦布,艾里克斯·库兹曼,安德鲁·加菲尔德, 美国, 英语, 蜘蛛人惊奇再起2：电光之战(台) / 蜘蛛侠2 : 决战电魔(港) / 超凡蜘蛛侠2：电光人崛起 / The Amazing Spider-Man 2: Rise of Electro / London Calling,"['动作', '科幻', '冒险']",142,2014,能力越大，责任越大。蜘蛛侠彼得·帕克（安德鲁·加菲尔德 Andrew Garfield 饰）在全力和犯罪、灾难做斗争的同时，终于迎来了毕业的时刻。可是曾经的一段心结，让他和女友格温·斯坦西（艾玛·斯通 Emma Stone 饰）的关系降至冰点。格温应聘于为全城提供电力的 奥斯本集团公司，同一期间发生的两件事，不由得左右这家公司和彼得等人的命运。奥斯本的掌门人病故，他的儿子哈利（戴恩·德哈恩 Dane DeHaan 饰）以20岁的年龄接受这家市值2000亿美元的巨无霸。另一方面，极度崇拜蜘蛛侠的电力工程师麦克斯·威尔·迪伦（杰米·福克斯 Jamie Foxx 饰）在维修机组时意外身亡，当他再度醒来时发现自己变成了全身充满电能的超人类。
