,link,moviename,vote_average,vote_count,img,director,scriptwriter,actors,place,language,secName,types,long,years,overview
895,https://movie.douban.com/subject/20452308/,一路顺疯,5.2,13023.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2098146746.jpg,叶伟民,文隽,陈思诚, 中国大陆, 汉语普通话, Bump In The Road,['喜剧'],95,2013.0,章开（陈思成 饰）是医术精湛的妇产科大夫，由于长相英俊，整天流连于各种美女之间，是个标准的花心渣男。小兰（蒋梦婕 饰）是妇产科的一名俏护士，她花痴般暗恋着章开。由于女友太多，风流的章开抱着只求开心不问结果的轻浮态度，活得到也快活。美玲（刘云 饰）、印巧文（李欣汝 饰）、纪沉鱼（卫莱 饰）和廖春熙（黄小蕾 饰）都与章开有过时间长短不一的情史，但都只是章开花心生活的点缀而己。
896,https://movie.douban.com/subject/26706957/,梅格雷的亡者 Maigret's Dead Man,7.5,5236.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2413210013.jpg,荣·伊斯特,斯图尔特·哈考特,罗温·艾金森, 英国, 英语, 梅格雷的死者 / 麦格雷的亡者 / 梅格雷亡者,"['剧情', '悬疑', '犯罪']",88,2016.0,ITV打算将Georges Simenon的Jules Maigret系列侦探小说改编成电视电影《Maigret Sets A Trap》和《Maigret’s Dead Man》，憨豆先生Rowan Atkinson将在其中扮演主人公法国侦探Jules Maigret。故事发生在上世纪五十年代的巴黎，Jules Maigret是当时有名的探长。
897,https://movie.douban.com/subject/2372742/,落地，请开手机,7.7,9249.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2375009102.jpg,李骏,沈亢,孙红雷, 中国大陆, 汉语普通话," Landing, Please Open Your Mobile Phone / Landing, Power on Your Cellphone","['剧情', '悬疑']", 50分钟,2008.0,飞机上的一个乘客突然变得癫狂，又遭遇到飞机强气流，待一切平稳下来，这名乘客已经突发性脑水肿死亡。而这名乘客身份并不普通。他是某保姆单位的高级研究人员，因涉嫌向外间谍组织出卖国家情报而遭到了有关部门的监控。他的离奇死亡使得这场监控和追捕遭到了停滞。而这时，国安局逮住了死者的弟弟王浩。于是想出一计，让侦查员沈亢（孙红雷 饰）扮成王浩，进而引蛇出洞。而这场卧底追捕，与王浩的中间联系人就是飞机上的空姐李小晚（傅晶 饰）。二人在一来二往中，互生情愫。但无奈卧底的身份不得暴露，小晚则纠结王浩黑社会的身份。
898,https://movie.douban.com/subject/1304641/,红磨坊 Moulin Rouge!,7.9,113499.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2454640615.jpg,巴兹·鲁赫曼,巴兹·鲁赫曼,妮可·基德曼, 澳大利亚 / 美国, 英语 / 法语 / 西班牙语, 梦断花都 / 情陷红磨坊(港),"['剧情', '爱情', '歌舞']",127,2001.0,红磨坊日日歌舞升平。夜总会，康康舞，这是个男人们花天酒地的享乐国度。然而，这儿的爱情，却无比纯净动人。
899,https://movie.douban.com/subject/1293824/,蝴蝶梦 Rebecca,8.3,57765.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1071763251.jpg,阿尔弗雷德·希区柯克,达芙妮·杜穆里埃,劳伦斯·奥利弗, 美国, 英语, 丽贝卡 / 蝴蝶春梦,"['剧情', '爱情', '悬疑']",130,1940.0,年轻女子（琼·芳登 Joan Fontaine 饰）初遇曼德利主人德文特（劳伦斯·奥利弗 Laurence Olivier 饰）是在海边的悬崖边上。她以为德文特要跳海自尽，大叫一声，让德文特生气不已。然而，接下来的二人相识继而相知的经历让他们堕入爱河，结为伉俪，女子成为了曼德利庄园的女主人。
900,https://movie.douban.com/subject/6759229/,新天生一对,6.3,41631.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1358024172.jpg,朱延平,简士耕,周渝民, 中国大陆 / 中国台湾, 汉语普通话, New Perfect Two / Xin Tian Sheng Yi Dui,"['剧情', '喜剧', '爱情', '家庭']",100,2012.0,阿B（周渝民 饰）是一个失意摩托车手。6年前，他因为比赛失误从此一蹶不振，连妻子方家蔚（杨幂 饰）也弃他而去。阿B拼命寻觅，毫无头绪，张贴警告逃妻告示，也没有结果。他意志消沉，借酒消愁，嗜赌成性，遭到荔父和女儿（徐若瑄 饰）指摘。幸有好友马妞（陈嘉桦 饰）为他洗衣做饭。养父雷叔（陶泽如 饰）多次劝他付出，他却心灰意懒。这时，妻子突然出现，还给阿B领来了一个6岁的儿子彬彬（小小彬 饰）。她说有事要办，所以托付他照顾，但是并没有告诉孩子阿B是他爸爸。面对昔日赌徒追讨高利贷，昔日对手尊尼（陈楚生 饰）力邀他付出的诚意，他无动于衷。但是，与彬彬相依相伴的父子情，却慢慢治愈了他的伤痛。然而，此时妻子却突然要带孩子移民美国，这让阿B措手不及……
902,https://movie.douban.com/subject/24875658/,我的青春期,6.0,15140.0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2278626199.jpg,郝杰,郝杰,包贝尔, 中国大陆, 汉语普通话, 我的春梦 / 我的青春 / 我的青春梦 / My Original Dream,"['剧情', '爱情']",91,2015.0,赵闪闪（包贝尔 饰）是一位单纯善良的少年，默默喜欢着美丽女孩李春霞（孙怡 饰），两人考入了同一所高中，随着时间的推移，青涩的感情渐渐生根发芽，两人之间的距离越来越近。然而，来自学校和家长的压力让赵闪闪和李春霞不得不暂时分开，他们许下承诺，共同努力考入同一所大学，再续前缘。
903,https://movie.douban.com/subject/1309171/,秘窗 Secret Window,7.0,37018.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p898129801.jpg,大卫·凯普,大卫·凯普,约翰尼·德普, 美国, 英语, 秘密窗 / 笔下窗狂 / 神秘窗 / 凶窗幻影,"['悬疑', '惊悚']",96,2004.0,雷尼（约翰尼·德普 Johnny Depp 饰）的妻子出了轨，他发现她和另一个男人躺在床上，他提出了离婚。然而，婚姻的阴影并没能使雷尼恢复原气。他的文笔开始暗淡无光，找不到从前的创作激情。于是，他来到了一个湖畔小屋疗伤创作。然而这个小屋，却给他带来了新的麻烦。
904,https://movie.douban.com/subject/1297068/,中南海保镖 中南海保镳,7.6,71221.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1397968890.jpg,元奎,陈嘉上,李连杰, 中国香港, 粤语, The Bodyguard from Beijing / The Defender,"['剧情', '动作']",93,1994.0,香港地区一起杀人案的唯一目击证人Michelle（钟丽缇 饰）正被杀手追杀，因为其未婚夫是与大陆高层关系密切的富商，身手不凡的中国特警许正阳（李连杰 饰）便被中央委派去香港保护Michelle。
905,https://movie.douban.com/subject/4325965/,邪咒,7.0,864.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1973909100.jpg,桂治洪,司徒安,戴良纯, 中国香港, 汉语普通话, Curse Of Evil,"['惊悚', '恐怖', '犯罪']",80,1982.0,成丰县有一条小巷，叫做施公径。巷子里有一间古旧的大屋，住的是施家后人。他们本来是当地的首富，不幸在二十年前发生惨剧，一家十三口全部给土匪杀死了。只剩下一个独生子跟他的妈妈。当时施家十三具尸体都扔在屋后面一口枯井里面， 事后鬼怪的事情层出不穷，有人说尸体的秽气扰及地龙，所以招致不详——但是这些，不过是种传闻。今天是施家老太太的五十岁生日，因为施家人丁单薄，所以，没有大室进入……
